DATE,SALES
9/1/2011,0.330
10/1/2011,0.339
11/1/2011,0.337
12/1/2011,0.342
1/1/2012,0.337
2/1/2012,0.358
3/1/2012,0.357
4/1/2012,0.361
5/1/2012,0.361
6/1/2012,0.350
7/1/2012,0.353
8/1/2012,0.353
9/1/2012,0.340
10/1/2012,0.316
11/1/2012,0.327
12/1/2012,0.341
1/1/2013,0.339
2/1/2013,0.345
3/1/2013,0.309
4/1/2013,0.360
5/1/2013,0.347
6/1/2013,0.375
7/1/2013,0.347
8/1/2013,0.341
9/1/2013,0.351
10/1/2013,0.373
11/1/2013,0.364
12/1/2013,0.372
1/1/2014,0.365
2/1/2014,0.376
3/1/2014,0.379
4/1/2014,0.415
5/1/2014,0.400
6/1/2014,0.392
7/1/2014,0.426
8/1/2014,0.431
9/1/2014,0.432
10/1/2014,0.431
11/1/2014,0.405
12/1/2014,0.421
1/1/2015,0.435
2/1/2015,0.430
3/1/2015,0.436
4/1/2015,0.444
5/1/2015,0.440
6/1/2015,0.489
7/1/2015,0.491
8/1/2015,0.451
9/1/2015,0.447
10/1/2015,0.452
11/1/2015,0.451
12/1/2015,0.422
1/1/2016,0.444
2/1/2016,0.456
3/1/2016,0.465
4/1/2016,0.422
5/1/2016,0.406
6/1/2016,0.402
7/1/2016,0.366
8/1/2016,0.386
9/1/2016,0.382
10/1/2016,0.348
11/1/2016,0.380
12/1/2016,0.371
1/1/2017,0.363
2/1/2017,0.384
3/1/2017,0.405
4/1/2017,0.395
5/1/2017,0.417
6/1/2017,0.427
7/1/2017,0.395
8/1/2017,0.438
9/1/2017,0.420
10/1/2017,0.423
11/1/2017,0.452
12/1/2017,0.442
1/1/2018,0.430
2/1/2018,0.472
3/1/2018,0.466
4/1/2018,0.467
5/1/2018,0.487
6/1/2018,0.493
7/1/2018,0.492
8/1/2018,0.520
9/1/2018,0.496
10/1/2018,0.522
11/1/2018,0.508
12/1/2018,0.484
1/1/2019,0.534
2/1/2019,0.505
3/1/2019,0.504
4/1/2019,0.578
5/1/2019,0.571
6/1/2019,0.525
7/1/2019,0.583
8/1/2019,0.539
9/1/2019,0.559
10/1/2019,0.519
11/1/2019,0.451
12/1/2019,0.463
1/1/2020,0.441
2/1/2020,0.456
3/1/2020,0.382
4/1/2020,0.352
5/1/2020,0.290
6/1/2020,0.358
7/1/2020,0.392
8/1/2020,0.423
9/1/2020,0.447
10/1/2020,0.449
11/1/2020,0.459
12/1/2020,0.458
1/1/2021,0.488
2/1/2021,0.453
3/1/2021,0.521
4/1/2021,0.491
5/1/2021,0.472
6/1/2021,0.484
7/1/2021,0.443
8/1/2021,0.424
